id,response
1,เครื่องมือที่ช่วยวิเคราะห์ สำรวจข้อมูลเบื้องต้นอย่างครบถ้วน รอบด้านและรองรับข้อมูลขนาดใหญ่มากๆได้ รวมถึงทำความสะอาดข้อมูลให้พร้อมใช้ทำโมเดล
2,เครื่องมือที่สามารถสำรองข้อมูลได้ในปริมาณมาก
3,code ง่าย
4,เครื่องมือที่สามารถแสดงให้เห็น dependency ในการทำงานระหว่างทีมได้
5,All in one Framework ที่ทำทุก Process ได้ใน Framework เดียว
6,เครื่องที่ช่วยให้ deploy model ได้ง่ายๆ ลดเวลา
7,Dataiku
8,sql version control
9,Model comparing
10,Present Dream
11,Dream Report
12,คิดว่าตัวเองยังรู้สึกเครื่องมือด้าน SE ไม่มากพอมากกว่า ฟังดูมีเครื่องมือน่าลองใช้เยอะมาก แต่เพิ่งเคยได้ยินตอนที่ทำแบบสอบถาม อยากให้มีการจัดอบรมการใช้ SE ในการทำ DS
13,Message Queue ใช้ในการจัดการข้อมูลปริมาณมาก
14,ai integration
15,Akkio
16,เครื่องมือที่อยากได้คือ AI assistant ที่สามารถทำการวิเคราะห์ข้อมูลอย่างเป็นอัตโนมัติ และมีความสามารถในการเรียนรู้เพื่อปรับปรุงตนเองตามการใช้งานของผู้ใช้ จะช่วยสร้างสรรค์และปรับปรุงวิธีการทำงานให้มีประสิทธิภาพมากยิ่งขึ้นตามความต้องการได้ จะเป็นเครื่องมือที่เปลี่ยนแปลงวิธีการทำงานอย่างรวดเร็วและมีประสิทธิภาพมากขึ้นในการจัดการข้อมูลและการตัดสินใจ
17,ไม่มี
18,Auto discovery hidden data relationship and deduplicate finding
19,dream tool ที่สามารถจัดการข้อมูลด้านการขายสินค้าและบริการของธุรกิจต่างๆ
20,เครื่องมือที่สามารถทำการตรวจสอบและประเมินความน่าเชื่อถือของข้อมูลได้อย่างอัตโนมัติ โดยเกี่ยวกับ consistency ใน database
21,Airflow
22,1) Auto convert prototype to production: data scientists สามารถสร้าง prototype app ขึ้นมาได้แต่อาจไม่ถูกต้องตามหลักการพัฒนา software และมีช่องโหว่ด้าน security การหาบุคลากร ML engineer การสื่อสารกับ IT การต้อง reimplement ใช้เวลา  2) Auto summary data quality problems and root causes: สามารถ capture ความผิดปกติแบบ multivariate ได้ (ไม่ใช่แค่ univariate outlier) และสามารถสรุป root cause ของ data quality problem ได้
23,"Thinking about the generative AI that supports the engineers in automatically provisioning the infrastructure and pipelines with cost|time efficiency, for example converting prompts to the scripts of Infrastructure as Code (IAC)."
24,เครื่องมือด้าน Data Observability
25,ไม่ทราบ
26,ยังไม่มี
27,open-source tool ที่เราสามารถ customize component ได้เองว่าจะใช้ tool ตัวไหนกับ data science process ต่างๆ (เช่น เราสามารถกำหนดโปรเจคขึ้นมา แล้วเลือกให้มี tableau สำหรับขั้นตอน visualization / dashboard และมี jupyter notebook สำหรับการสร้าง ML model แบบที่เราสามารถ customize เองได้)
28,แปลง business requirement เป็น code
29,Intellij but on web like databricks
30,SQL TECH CODING ADVANCE
