ID,Exact Text Response,Assigned Themes,Empirical Rationale / Multi-Theme Mapping
1,เครื่องมือที่ช่วยวิเคราะห์ สำรวจข้อมูลเบื้องต้นอย่างครบถ้วน รอบด้านและรองรับข้อมูลขนาดใหญ่มากๆได้ รวมถึงทำความสะอาดข้อมูลให้พร้อมใช้ทำโมเดล,All-in-One Platforms; Data Mgmt & Quality,Requests an all-inclusive tool that handles exploratory analysis alongside scalable large-scale data cleaning for modeling preparation.
2,เครื่องมือที่สามารถสำรองข้อมูลได้ในปริมาณมาก,Data Mgmt & Quality,Strictly focused on scalable structural data management (backups).
3,code ง่าย,Visual Coding & IDEs,Focuses on developer experience (DX) and simplifying code execution.
4,เครื่องมือที่สามารถแสดงให้เห็น dependency ในการทำงานระหว่างทีมได้,Software Eng & MLOps,Maps to software configuration management and cross-team dependency tracking.
5,All in one Framework ที่ทำทุก Process ได้ใน Framework เดียว,All-in-One Platforms,Explicit request for a unified framework to eliminate pipeline fragmentation.
6,เครื่องที่ช่วยให้ deploy model ได้ง่ายๆ ลดเวลา,Software Eng & MLOps,Targets the reduction of cycle time during production model deployment.
7,Dataiku,All-in-One Platforms,Identifies a specific enterprise end-to-end data science lifecycle platform (Dataiku).
8,sql version control,Software Eng & MLOps,Directly requests standard software engineering version control applied to relational database scripts.
9,Model comparing,Visualization & Reporting,Focuses on metrics comparison outputs during evaluation.
10,Present Dream,Visualization & Reporting,Targets presentation and stakeholder delivery outputs.
11,Dream Report,Visualization & Reporting,Focuses on automated artifact generation (reporting).
12,คิดว่าตัวเองยังรู้สึกเครื่องมือด้าน SE ไม่มากพอมากกว่า ฟังดูมีเครื่องมือน่าลองใช้เยอะมาก แต่เพิ่งเคยได้ยินตอนที่ทำแบบสอบถาม อยากให้มีการจัดอบรมการใช้ SE ในการทำ DS,Software Eng & MLOps,Highlights a knowledge gap and demands Software Engineering upskilling for data science practitioners.
13,Message Queue ใช้ในการจัดการข้อมูลปริมาณมาก,Data Mgmt & Quality; Software Eng & MLOps,"Mentions message queues—an architectural engineering system pattern used for scalable, asynchronous data ingestion pipelines."
14,ai integration,AI & Automation,Broad request for incorporating intelligent features.
15,Akkio,AI & Automation; All-in-One Platforms,"Points to Akkio, an existing commercial no-code platform optimized for automated end-to-end predictive workflows."
16,เครื่องมือที่อยากได้คือ AI assistant ที่สามารถทำการวิเคราะห์ข้อมูลอย่างเป็นอัตโนมัติ และมีความสามารถในการเรียนรู้เพื่อปรับปรุงตนเองตามการใช้งานของผู้ใช้ จะช่วยสร้างสรรค์และปรับปรุงวิธีการทำงานให้มีประสิทธิภาพมากยิ่งขึ้นตามความต้องการได้ จะเป็นเครื่องมือที่เปลี่ยนแปลงวิธีการทำงานอย่างรวดเร็วและมีประสิทธิภาพมากขึ้นในการจัดการข้อมูลและการตัดสินใจ,AI & Automation; All-in-One Platforms,Requests an autonomous AI assistant acting as an all-encompassing platform overseeing data analysis through to strategic decision making.
17,ไม่มี,No Specific Tool / Feedback,Indicated absence of a specific tool idea.
18,Auto discovery hidden data relationship and deduplicate finding,AI & Automation; Data Mgmt & Quality,Merges autonomous pattern discovery (AI) with database cleansing operations (deduplication).
19,dream tool ที่สามารถจัดการข้อมูลด้านการขายสินค้าและบริการของธุรกิจต่างๆ,Data Mgmt & Quality,Focuses on business domain data storage and operational organization.
20,เครื่องมือที่สามารถทำการตรวจสอบและประเมินความน่าเชื่อถือของข้อมูลได้อย่างอัตโนมัติ โดยเกี่ยวกับ consistency ใน database,Data Mgmt & Quality; AI & Automation,Demands automated assessment of relational database consistency and data reliability metrics.
21,Airflow,Software Eng & MLOps; Data Mgmt & Quality,"Refers to Apache Airflow, a standard software engineering ecosystem tool for programmatic pipeline orchestration and workflow management."
22,1) Auto convert prototype to production: data scientists สามารถสร้าง prototype app ขึ้นมาได้แต่อาจไม่ถูกต้องตามหลักการพัฒนา software และมีช่องโหว่ด้าน security การหาบุคลากร ML engineer การสื่อสารกับ IT การต้อง reimplement ใช้เวลา  2) Auto summary data quality problems and root causes: สามารถ capture ความผิดปกติแบบ multivariate ได้ (ไม่ใช่แค่ univariate outlier) และสามารถสรุป root cause ของ data quality problem ได้,AI & Automation; Software Eng & MLOps; Data Mgmt & Quality,"Highly Multi-thematic: Demands automated translation from experimental script to safe production environments (MLOps), while also requiring automated multivariate data observability."
23,"Thinking about the generative AI that supports the engineers in automatically provisioning the infrastructure and pipelines with cost|time efficiency, for example converting prompts to the scripts of Infrastructure as Code (IAC).",AI & Automation; Software Eng & MLOps,Explores using Generative AI specifically to synthesize standard Software Engineering assets like Infrastructure as Code (IaC) scripts.
24,เครื่องมือด้าน Data Observability,Data Mgmt & Quality; Software Eng & MLOps,Data observability applies DevOps monitoring philosophy directly to data system lifecycles.
25,ไม่ทราบ,No Specific Tool / Feedback,Explicit stated they did not know.
26,ยังไม่มี,No Specific Tool / Feedback,Noted that no such tool is conceptualized yet.
27,open-source tool ที่เราสามารถ customize component ได้เองว่าจะใช้ tool ตัวไหนกับ data science process ต่างๆ (เช่น เราสามารถกำหนดโปรเจคขึ้นมา แล้วเลือกให้มี tableau สำหรับขั้นตอน visualization / dashboard และมี jupyter notebook สำหรับการสร้าง ML model แบบที่เราสามารถ customize เองได้),All-in-One Platforms; Visual Coding & IDEs,"Demands a modular, customizable end-to-end sandbox platform that integrates multiple separate software components into a singular process workspace."
28,แปลง business requirement เป็น code,AI & Automation; Visual Coding & IDEs,"Targets automatic requirement compilation and translation directly into code scripts, lowering development friction."
29,Intellij but on web like databricks,Visual Coding & IDEs; Software Eng & MLOps,"Requests embedding a robust, heavy-duty software engineering IDE (IntelliJ) directly into cloud-based data environments."
30,SQL TECH CODING ADVANCE,Visual Coding & IDEs,Targets advanced features within code/query editors.
